"HolderAddress","Balance","PendingBalanceUpdate"
"0x43d5e21256d170e87c4da4852b1c3abe697ca031","1.9E-14","No"
"0x4535b4299527ca0a0b42fae2b744cee1fbb47727","2.87983E-13","No"
"0x45d198c91f196d29fca0cf9eb77a371dd45a38ba","1.7653E-14","No"
"0x45f51de9e88f2e3f585ea079f9de727374209b7e","1.4082E-14","No"
"0x4735c7a152b4262321c2362a75dccc966530f434","7.12214E-13","No"
"0x473d56155792651b1535601ce2f8583916182ef0","3.03884E-13","No"
"0x4825f4c1b651ece01955f2f6f80e4f33862d1837","1.0626936E-11","No"
"0x48a7f638ba168cd1446f17899a4c398fb7feaf13","3.17221E-13","No"
"0x497f1fdaa954c24dbf1a03c6a974babc6fa8d7dc","3.05155E-13","No"
"0x49a2aa207dd41a40659debd36e8f583d98795939","4.38E-16","No"
"0x4a37caa373ba21dcaeb66a3c0856f919f5ac0ed6","2E-14","No"
"0x4ac4ff89b9d4b3daf54942e3df63751a4a54c735","6.5013E-14","No"
"0x4b02b4c1515f27ffacff9a9ecef9cde337c49eff","3.88985E-13","No"
"0x4b8833a946ee74a6a9586efd6fdf792fb9b6c404","2.125E-14","No"
"0x4c201a7839cc7d0abe1b9de2c6407e36fa723601","2.98866E-13","No"
"0x4dac82a9bc5a19545e80fcf8ce7e273f8da2892e","7.0698E-14","No"
"0x4f04ce140dab366ec71b9f215acd88c2c6a4beb7","6.9787E-14","No"
"0x5066fbe092caee0d19ddd0b3302ea4e925726f80","7.41156E-13","No"
"0x52217443e3fbed2ddf2364f8e174dec88a72b3a6","3.6269E-14","No"
"0x5301993257f7085668d01297d3bf84d64e4ecc64","3.46311E-13","No"
"0x53aed627eb22cb1c0856a253a4a6f71323d34f95","3.17221E-13","No"
"0x5413da207936ced5a3b2a6e32ddff48d1bc038f4","2.78801E-13","No"
"0x558edfef58a5037aa287b8f4ffb0a6690cdcbf5d","7.69784E-13","No"
"0x5671efd31160844ecb8c777298c900dbc4cf441e","4.73766E-13","No"
"0x5736ecb1bed58bc4677dba0e4d4887558883e561","1.5266E-13","No"
"0x58994774039a126ab01ebb7acb42fde7801ec64b","1.166955E-12","No"
"0x596a0f00442cb035e12b6aff166df710f9808e12","3.7372E-14","No"
"0x597bea912e8734e17ddc4f43a489a1472d9459cf","6.4561E-14","No"
"0x59c15202be86717fa4b73db18638d1d84c4d770e","3.449E-15","No"
"0x5a249807b89a8db16f5aeb502678a2af904a4b4f","3.05155E-13","No"
"0x5c454e1f3e3cc5d58df726dc99f638701e1c5d38","3.58574E-13","No"
"0x5c706df623ac1c2090b8b1eaea3a17bae1d4b335","7.2136E-14","No"
"0x605307da17ad96171e79afa7e1e1a7b21dda111f","4.9958E-14","No"
"0x60890bec74a90d03f5adc0c6aa1ba6b6ff6beb9d","3.7438E-13","No"
"0x609c89b497fd8055728371495258748ae8565e99","7.677E-14","No"
"0x60faedfb23a476e4d587ced68666c939aaf7192a","3.96026E-13","No"
"0x618d6fd19faa64a8ff656a647a3b486bf69586cf","1.81348E-13","No"
"0x61a90d0d0c6f49c4a3b5df595eb968b3b4946c31","2.43197E-13","No"
"0x620cb8f9f63e21e91369bb2df7ec985924979c68","7.4004E-14","No"
"0x62d06a9f0ad6b2e0cca5472f06e982d00bdf306a","8.34487E-13","No"
"0x639090cdd215010fe54c36a49bbd1604f034e1d4","2.8896E-13","No"
"0x64298decc0fa92a15b767be2f145aa72bab2b876","5.4404E-14","No"
"0x64a6e6fc0817ad1940b92ed2d6d2ffb6f0a59557","2.83283E-13","No"
"0x657dc5ef1d093dd58fc59b1d8fe6c7be5ef72614","3.4463E-13","No"
"0x670e1b5dc2db6af9094ddefb4d356ba2e60aba8d","2.938393E-12","No"
"0x68bb772f949a71b8406c08a0d5081736f72c25a1","3.58324E-13","No"
"0x6a31db8c2b9ae5721b92c2e21f3b553ef3d9827d","3.7524E-14","No"
"0x6aa46c75fab9672f5689e65eb8aab5fe62a2a438","9.46184E-13","No"
"0x6deb32a45282873e5b987bc3e55561e015d72c15","4.13136E-13","No"
"0x6e332bf9deeabfcbdbea05023b48ddb2590ecd4a","6.08326E-13","No"
"0x6e89de764f19f1726d4d2fd5e06c8cda61dd1c08","5.3678E-14","No"
"0x7101a39c053954e3e7fd010fdf3f6ef6bdbcbde0","2.77792E-13","No"
"0x723405513d7b95d5dc66a0343b04cbca2ef6b36f","1.7577E-13","No"
"0x7403f1c493587eb42a81afa9aa0bde24b49cd844","1.6748E-14","No"
"0x74f316b917876f798a7213f66a32a778bb93fb0d","2.7914E-14","No"
"0x75d9a8ad23faf33d84fce35cc9b6a2a53d26b7b8","3.02851E-13","No"
"0x77ecb75e3fe4ee750e0e5cf5f356b163274f379b","1.7231E-14","No"
"0x78019d088411ebdd41c7a94dbb027cf001ce0561","3.631E-14","No"
"0x79776e826c78f0452a463ee27b9d66ebe8cec865","9.4407E-14","No"
"0x79acbf17da6520d923673a285955bbbc468dd609","1.522847E-12","No"
"0x79b03ba80a7aa612543f8445f8b1b944ece36fc8","3.00675E-13","No"
"0x7c0b45f790a5ab386377bb7ca92eb2d372e37a7b","4.9652E-14","No"
"0x80bb0d87dce1a94329586ce9c7d39692bbf44af6","2.8263E-14","No"
"0x821906ce2e228032552c02667dc0b04d0cdb8bce","3.02851E-13","No"
"0x82a9c186f7ea3ab8304fda2a8298d6805ec9dca0","3.8576E-14","No"
"0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c","7.183288E-12","No"
"0x831cc1fccb290a6ba14a0a356b00cf38e78d3d0b","4.83633E-13","No"
"0x840a785172946c172d21ab9f92746f85d05b5de2","1.50392E-13","No"
"0x857269bbfa8d8b6dd07dd029848ad4695ebbf542","9.991024E-12","No"
"0x87776f836a30d1ba9799307878d8b3a1713abf39","7.4711E-14","No"
"0x878b9bfb51ded08120793d25e3bc66904e23b804","4.70297E-13","No"
"0x882aa05c4e92ce24584faa4dc24b7dab6cc598a5","1.125748E-12","No"
"0x88551e0e83b1a8a47fb7b50507298b229cf12586","3.02851E-13","No"
"0x888c07253840f9f20bd94548db1272c9d4bb6669","4.22109E-13","No"
"0x8b60297bed721a29a77a4a1d7024c180277d8544","3.00675E-13","No"
"0x8d107a2e72644c2583d1f3c4ba07d9d2a505bb74","1E-15","No"
"0x8de7a62f51448573e855f34cf9a5204c173d0a79","1.01269E-13","No"
"0x8e09518fa8d9780968cedc9ce3d3c3856d2a9f59","2.93069E-13","No"
"0x8f40496973fc78d389571812c0d43620369102c6","2.969E-13","No"
"0x916308fc74a7b2237b13413907ed60989f9f9254","9.792E-15","No"
"0x93d0c5175e80629261393ac5bc0697c4c258e353","6.81869E-13","No"
"0x9424ad56a905900fdf5f67d5eb27251cdc6c482e","1.8134E-14","No"
"0x94403a4d342c40860966c0344a88ac38b9dfc952","4.0783E-13","No"
"0x946b1877ea25b1e9ad9afaa59db7e6b27fce1a85","2.95644E-13","No"
"0x9492fc76c1c6e20241dbe403fe7e0f0e17f7e63d","2.3E-14","No"
"0x9498390c3f51a256ccfabe9aef961e1d246dc58e","3.18783E-13","No"
"0x959884872f73b04c8bc9af249860bb1c7e69d4c0","1.43535E-13","No"
"0x975c20d9635fb04dcee4c48db12c245f70505b82","1.89808E-13","No"
"0x9853f91882e43871e4e8d30c754e8bf6efc36262","1.58162E-13","No"
